weighted_error, threshold, feature, weight_alpha
6.138433515482704106e-01,-8.512170000000000014e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.508529999999999704e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.508529999999999704e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.502950000000000230e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.102003642987257059e-01,-8.501980000000000093e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.501069999999999460e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.138433515482704106e-01,-8.495169999999999666e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.138433515482704106e-01,-8.495169999999999666e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.494939999999999714e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.493929999999999536e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.493309999999999471e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.490830000000000322e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.490649999999999586e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.489679999999999449e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.488909999999999512e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.482669999999999932e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.481349999999999723e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.481279999999999930e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.284153005464492292e-01,-8.478949999999999543e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.475930000000000408e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.474779999999999536e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.457200000000000273e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.452490000000000281e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.450969999999999871e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.450969999999999871e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.447909999999999586e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.446369999999999711e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.156648451730427629e-01,-8.446200000000000374e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.443899999999999739e-01,-1.000000000000000000e+00,1.000000000000000000e+00
